Brute Force,Dynamic Programming,Greedy,Tabu Search,Simulated Annealing,Genetic Algorithm,Ant Colony Optimization,Particle Swarm Optimization
,32616.0,32570.0,19351.0,20899.0,23565.0,24134.0,0.0
,32616.0,32570.0,19351.0,23782.0,23968.0,30986.0,0.0
,32616.0,32570.0,19351.0,23782.0,23968.0,31900.0,0.0
,32616.0,32570.0,19351.0,23782.0,23968.0,32266.0,0.0
,32616.0,32570.0,19351.0,23782.0,24222.0,32208.0,0.0
,32616.0,32570.0,19351.0,23782.0,24222.0,31990.0,0.0
,32616.0,32570.0,19351.0,24404.0,26348.0,32145.0,0.0
,32616.0,32570.0,19351.0,24404.0,26498.0,32351.0,0.0
,32616.0,32570.0,19351.0,24633.0,26498.0,32354.0,0.0
,32616.0,32570.0,19351.0,24767.0,26498.0,32418.0,0.0
,32616.0,32570.0,19351.0,25843.0,26498.0,32268.0,0.0
,32616.0,32570.0,19351.0,25843.0,26498.0,32418.0,0.0
,32616.0,32570.0,19351.0,25843.0,26498.0,32059.0,0.0
,32616.0,32570.0,19351.0,25843.0,26498.0,32568.0,0.0
,32616.0,32570.0,19351.0,25843.0,26498.0,32418.0,0.0
,32616.0,32570.0,19351.0,25843.0,26498.0,31907.0,0.0
,32616.0,32570.0,19351.0,25843.0,26498.0,32358.0,0.0
,32616.0,32570.0,19351.0,25843.0,26498.0,31572.0,17672.0
,32616.0,32570.0,20276.0,25843.0,26498.0,31169.0,17672.0
,32616.0,32570.0,20276.0,25843.0,26498.0,32266.0,17672.0
,32616.0,32570.0,20276.0,25843.0,26498.0,32268.0,17672.0
,32616.0,32570.0,20276.0,25843.0,26498.0,32117.0,20604.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32418.0,20604.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32268.0,20604.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32268.0,20604.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32416.0,20743.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32419.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32418.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32359.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32419.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32361.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32115.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32360.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,31863.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32207.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32266.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,31164.0,22508.0
,32616.0,32570.0,20276.0,25938.0,26498.0,32058.0,22508.0
,32616.0,32570.0,22473.0,25938.0,26498.0,32115.0,22508.0
,32616.0,32570.0,22473.0,25938.0,26498.0,32206.0,22508.0
,32616.0,32570.0,22473.0,25938.0,26498.0,32208.0,22508.0
,32616.0,32570.0,22473.0,25938.0,26498.0,32421.0,23497.0
